122342;Cuenta de ahorros;1934.75;2311;4850 4600 5342 9852
454343;Cuenta corriente;45143.2;2311;4850 4600 5322 9112
122132;Cuenta de ahorros;316;1222;4850 4600 5366 9834
122233;Cuenta corriente;1291.61;1222;4850 4600 5322 9112
114282;Cuenta corriente;0;3455;4850 4600 6421 8921
114310;Cuenta de ahorros;24;3455;4850 4600 2443 0965
110042;Cuenta corriente;97;1061;4850 4600 5733 1453
114891;Cuenta de ahorros;0;1061;4850 4600 4554 5724
119724;Cuenta corriente;10;4359;4850 4600 0692 8697
129346;Cuenta de ahorros;0;4359;4850 4600 5546 5244
